,what,remote,control,vehicle,did,he,make,?
he,0.3114890456199646,0.13195154070854187,0.21508142352104187,0.1550193578004837,0.3292143940925598,1.0000001192092896,0.24703912436962128,0.2089974731206894
also,0.42747777700424194,0.2610456645488739,0.26935648918151855,0.1873370110988617,0.39334940910339355,0.4735357165336609,0.45424434542655945,0.21848613023757935
built,0.1554843783378601,0.21367281675338745,0.2082960158586502,0.313582181930542,0.2079687863588333,0.19984933733940125,0.23671534657478333,0.09449632465839386
a,0.3320399522781372,0.23404860496520996,0.21056023240089417,0.2779759168624878,0.2552328109741211,0.4393508732318878,0.34303420782089233,0.23916715383529663
wireless,0.18138271570205688,0.4530254304409027,0.28595641255378723,0.2748042345046997,0.11166471242904663,0.14222893118858337,0.14453259110450745,0.08461163192987442
controlled,0.24713590741157532,0.384755939245224,0.7488215565681458,0.20213204622268677,0.22843453288078308,0.20103980600833893,0.21553833782672882,0.1105743944644928
boat,0.16556422412395477,0.24146081507205963,0.18089145421981812,0.4247238337993622,0.17652243375778198,0.2337060123682022,0.1437823474407196,0.1711711287498474
",",0.3087472915649414,0.17760731279850006,0.20811550319194794,0.12404345721006393,0.3015086054801941,0.40251094102859497,0.324553906917572,0.31091248989105225
one,0.376489520072937,0.21587267518043518,0.2762129008769989,0.21672753989696503,0.27659472823143005,0.3856739401817322,0.3527044355869293,0.2673267424106598
of,0.33290785551071167,0.1915879100561142,0.2817542552947998,0.19269394874572754,0.2513895630836487,0.38706058263778687,0.2912110388278961,0.1826142966747284
the,0.42745697498321533,0.2411084920167923,0.32841500639915466,0.20434843003749847,0.34736719727516174,0.4571082592010498,0.3146495521068573,0.22068053483963013
first,0.28086137771606445,0.09345750510692596,0.19593946635723114,0.17206692695617676,0.33691170811653137,0.3826274573802948,0.24807552993297577,0.18701928853988647
ever,0.3486426770687103,0.09112159162759781,0.08383429050445557,0.13983319699764252,0.3356092572212219,0.32867249846458435,0.19563157856464386,0.3358461856842041
exhibited,0.16807207465171814,0.15721361339092255,0.15113818645477295,0.19532029330730438,0.18129757046699524,0.19801487028598785,0.0899844616651535,0.1261514127254486
.,0.3567904531955719,0.2054690569639206,0.24319837987422943,0.19765201210975647,0.35288307070732117,0.38061028718948364,0.3547073304653168,0.4130953550338745
