,in,the,layered,model,of,the,earth,",",the,outermost,layer,is,what,?
these,0.3791837692260742,0.49086877703666687,0.2990134060382843,0.12957298755645752,0.42684608697891235,0.49086877703666687,0.23144929111003876,0.37613096833229065,0.49086877703666687,0.42315199971199036,0.26002076268196106,0.2498808652162552,0.4164220690727234,0.2571668326854706
advances,0.22989708185195923,0.29882919788360596,0.2932252883911133,0.14196206629276276,0.27895745635032654,0.29882919788360596,0.2740710377693176,0.25091618299484253,0.29882919788360596,0.21420550346374512,0.22929850220680237,0.14862333238124847,0.2105628252029419,0.12414493411779404
led,0.2990247309207916,0.3267505168914795,0.20901000499725342,0.05455842614173889,0.32918456196784973,0.3267505168914795,0.16771341860294342,0.22548827528953552,0.3267505168914795,0.14951340854167938,0.16849809885025024,0.14361225068569183,0.12112844735383987,0.09273858368396759
to,0.45010748505592346,0.535392165184021,0.1709391176700592,0.187554731965065,0.41548454761505127,0.535392165184021,0.2486501932144165,0.44245919585227966,0.535392165184021,0.2748599350452423,0.2141847461462021,0.42745086550712585,0.455847829580307,0.29463258385658264
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.4106951653957367,0.22831332683563232,0.5823672413825989,0.42745697498321533,0.22068053483963013
development,0.2550492286682129,0.3362044394016266,0.24800114333629608,0.1938512772321701,0.28700894117355347,0.3362044394016266,0.16939832270145416,0.23776917159557343,0.3362044394016266,0.30441784858703613,0.192396879196167,0.2293442040681839,0.19014155864715576,0.1211358830332756
of,0.5696388483047485,0.733189046382904,0.23404428362846375,0.18271391093730927,1.0,0.733189046382904,0.2329314798116684,0.4946078956127167,0.733189046382904,0.39162787795066833,0.19074802100658417,0.4854315221309662,0.33290785551071167,0.1826142966747284
a,0.539380669593811,0.5829201340675354,0.24390482902526855,0.29218459129333496,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.427140474319458,0.5829201340675354,0.29540562629699707,0.2366863191127777,0.658733606338501,0.3320399522781372,0.23916715383529663
layered,0.1725275218486786,0.2035854160785675,1.0,0.2510553300380707,0.23404428362846375,0.2035854160785675,0.31122034788131714,0.1762612760066986,0.2035854160785675,0.51096111536026,0.7994839549064636,0.1823882758617401,0.157872274518013,0.10999923944473267
model,0.2267826348543167,0.14028635621070862,0.2510553300380707,1.0000001192092896,0.18271391093730927,0.14028635621070862,0.07608746737241745,0.244965597987175,0.14028635621070862,0.1747869998216629,0.22933834791183472,0.21612800657749176,0.2303347885608673,0.14843042194843292
of,0.5696388483047485,0.733189046382904,0.23404428362846375,0.18271391093730927,1.0,0.733189046382904,0.2329314798116684,0.4946078956127167,0.733189046382904,0.39162787795066833,0.19074802100658417,0.4854315221309662,0.33290785551071167,0.1826142966747284
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.4106951653957367,0.22831332683563232,0.5823672413825989,0.42745697498321533,0.22068053483963013
earth,0.18566735088825226,0.2801888585090637,0.31122034788131714,0.07608746737241745,0.2329314798116684,0.2801888585090637,1.0,0.23186853528022766,0.2801888585090637,0.3867391049861908,0.356830358505249,0.26888176798820496,0.25883176922798157,0.17717236280441284
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,1.0000001192092896,0.4933079481124878,0.27094292640686035,0.16123715043067932,0.4691906273365021,0.3087472915649414,0.31091248989105225
with,0.4080928862094879,0.4223487675189972,0.268891304731369,0.120089091360569,0.41827285289764404,0.4223487675189972,0.21692633628845215,0.4120737314224243,0.4223487675189972,0.3027089834213257,0.19762569665908813,0.3250955045223236,0.2464839518070221,0.2433311939239502
a,0.539380669593811,0.5829201340675354,0.24390482902526855,0.29218459129333496,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.427140474319458,0.5829201340675354,0.29540562629699707,0.2366863191127777,0.658733606338501,0.3320399522781372,0.23916715383529663
crust,0.1749051809310913,0.22538691759109497,0.4293930232524872,0.1287102848291397,0.21774794161319733,0.22538691759109497,0.52252197265625,0.2004449963569641,0.22538691759109497,0.41502633690834045,0.4189044237136841,0.2493407428264618,0.22092486917972565,0.1887258142232895
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.6633074283599854,0.5171257257461548,0.3172432780265808,0.2740338444709778,0.3859752118587494,0.31309178471565247,0.20544172823429108
lithosphere,0.2248716950416565,0.28085029125213623,0.5053330659866333,0.2017238885164261,0.2557520568370819,0.28085029125213623,0.5578895211219788,0.2066507637500763,0.28085029125213623,0.5436870455741882,0.5476199388504028,0.26867392659187317,0.22349202632904053,0.1646844744682312
on,0.46853652596473694,0.5107308030128479,0.2279079407453537,0.20435898005962372,0.3966929316520691,0.5107308030128479,0.20645220577716827,0.49057599902153015,0.5107308030128479,0.27050283551216125,0.21330849826335907,0.3635730445384979,0.34226128458976746,0.2714994251728058
top,0.2235720455646515,0.31754136085510254,0.27468791604042053,0.2181166410446167,0.20362378656864166,0.31754136085510254,0.18094098567962646,0.2270241379737854,0.31754136085510254,0.2725536525249481,0.28296783566474915,0.17102722823619843,0.21232028305530548,0.17265194654464722
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,1.0000001192092896,0.4933079481124878,0.27094292640686035,0.16123715043067932,0.4691906273365021,0.3087472915649414,0.31091248989105225
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.4106951653957367,0.22831332683563232,0.5823672413825989,0.42745697498321533,0.22068053483963013
mantle,0.12298760563135147,0.24731530249118805,0.42776021361351013,0.10912115126848221,0.19364143908023834,0.24731530249118805,0.4542229175567627,0.15361756086349487,0.24731530249118805,0.4968832731246948,0.4216019809246063,0.21450211107730865,0.20894600450992584,0.16224074363708496
below,0.29600706696510315,0.2930138111114502,0.23911896347999573,0.09251513332128525,0.23283669352531433,0.2930138111114502,0.1939532309770584,0.29792070388793945,0.2930138111114502,0.34236136078834534,0.28597357869148254,0.24241961538791656,0.23541416227817535,0.17692236602306366
(,0.3087427020072937,0.33289089798927307,0.10827789455652237,0.15940167009830475,0.35032153129577637,0.33289089798927307,0.18478946387767792,0.6363511681556702,0.33289089798927307,0.21685807406902313,0.11796855181455612,0.35393038392066956,0.2411840260028839,0.40561532974243164
separated,0.26304155588150024,0.27899038791656494,0.28599658608436584,0.1006895899772644,0.27533861994743347,0.27899038791656494,0.19091524183750153,0.285319983959198,0.27899038791656494,0.33014482259750366,0.20955796539783478,0.18671321868896484,0.18778635561466217,0.0923643484711647
within,0.40576374530792236,0.39827480912208557,0.20351143181324005,0.15686427056789398,0.39594778418540955,0.39827480912208557,0.2043885588645935,0.2513136863708496,0.39827480912208557,0.36464226245880127,0.22794434428215027,0.30135563015937805,0.2498195916414261,0.1870293766260147
itself,0.28042417764663696,0.45971640944480896,0.17537160217761993,0.1778433620929718,0.3157202899456024,0.45971640944480896,0.2231949269771576,0.2783147692680359,0.45971640944480896,0.33454999327659607,0.20260374248027802,0.3638126254081726,0.3625122308731079,0.17933900654315948
by,0.370934396982193,0.4408751428127289,0.1395932286977768,0.12459231913089752,0.3646814823150635,0.4408751428127289,0.1861492097377777,0.3680937886238098,0.4408751428127289,0.1946861445903778,0.08944900333881378,0.3899846076965332,0.2455483376979828,0.17966607213020325
seismic,0.16563263535499573,0.22985544800758362,0.28295302391052246,0.17495548725128174,0.23986764252185822,0.22985544800758362,0.37750980257987976,0.18039323389530182,0.22985544800758362,0.35652831196784973,0.28793951869010925,0.17387105524539948,0.24362105131149292,0.18033616244792938
discontinuities,0.23936352133750916,0.29563742876052856,0.24392659962177277,0.3642362654209137,0.24699506163597107,0.29563742876052856,0.2301068902015686,0.2849874794483185,0.29563742876052856,0.294163316488266,0.20518581569194794,0.23992536962032318,0.27652230858802795,0.23700280487537384
at,0.4374977946281433,0.457212895154953,0.183242067694664,0.15189559757709503,0.42558613419532776,0.457212895154953,0.14618435502052307,0.38314947485923767,0.457212895154953,0.24732951819896698,0.14042359590530396,0.25906258821487427,0.2838611304759979,0.21978627145290375
410,0.22765569388866425,0.2887737452983856,0.057542938739061356,-0.04193365201354027,0.27827516198158264,0.2887737452983856,0.12042674422264099,0.17406627535820007,0.2887737452983856,0.16159825026988983,0.042836274951696396,0.1871201992034912,0.11870669573545456,0.02301076613366604
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.6633074283599854,0.5171257257461548,0.3172432780265808,0.2740338444709778,0.3859752118587494,0.31309178471565247,0.20544172823429108
660,0.008569775149226189,0.08328894525766373,0.09488644450902939,-0.10130904614925385,0.15483292937278748,0.08328894525766373,0.05758852884173393,-0.014563936740159988,0.08328894525766373,0.11780621856451035,0.0658697709441185,0.01168378908187151,0.05490385740995407,-0.023585868999361992
kilometers,0.3013875186443329,0.3189322352409363,0.20416463911533356,0.09772597998380661,0.26878124475479126,0.3189322352409363,0.2968935966491699,0.24683520197868347,0.3189322352409363,0.33273229002952576,0.23507757484912872,0.28149881958961487,0.1880730390548706,0.09704750031232834
),0.3326910734176636,0.3456730246543884,0.12274517863988876,0.18309912085533142,0.3680361211299896,0.3456730246543884,0.18219341337680817,0.63033527135849,0.3456730246543884,0.22389747202396393,0.1430271714925766,0.37732169032096863,0.26259949803352356,0.42300865054130554
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,1.0000001192092896,0.4933079481124878,0.27094292640686035,0.16123715043067932,0.4691906273365021,0.3087472915649414,0.31091248989105225
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.6633074283599854,0.5171257257461548,0.3172432780265808,0.2740338444709778,0.3859752118587494,0.31309178471565247,0.20544172823429108
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.4106951653957367,0.22831332683563232,0.5823672413825989,0.42745697498321533,0.22068053483963013
outer,0.2098662108182907,0.3022986054420471,0.4059828817844391,0.060680683702230453,0.26699039340019226,0.3022986054420471,0.3503085672855377,0.19833563268184662,0.3022986054420471,0.7475740313529968,0.4313380718231201,0.21060429513454437,0.2157491147518158,0.06864649802446365
core,0.16659320890903473,0.21890558302402496,0.3206200897693634,0.22370631992816925,0.2545962929725647,0.21890558302402496,0.31014180183410645,0.22361785173416138,0.21890558302402496,0.3990100622177124,0.34157663583755493,0.24520008265972137,0.2474994957447052,0.20309162139892578
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.6633074283599854,0.5171257257461548,0.3172432780265808,0.2740338444709778,0.3859752118587494,0.31309178471565247,0.20544172823429108
inner,0.22538623213768005,0.2790820598602295,0.3547295033931732,0.07930926978588104,0.2847692370414734,0.2790820598602295,0.2092355489730835,0.20530863106250763,0.2790820598602295,0.5637876391410828,0.35732755064964294,0.21686768531799316,0.226011261343956,0.10395674407482147
core,0.16659320890903473,0.21890558302402496,0.3206200897693634,0.22370631992816925,0.2545962929725647,0.21890558302402496,0.31014180183410645,0.22361785173416138,0.21890558302402496,0.3990100622177124,0.34157663583755493,0.24520008265972137,0.2474994957447052,0.20309162139892578
below,0.29600706696510315,0.2930138111114502,0.23911896347999573,0.09251513332128525,0.23283669352531433,0.2930138111114502,0.1939532309770584,0.29792070388793945,0.2930138111114502,0.34236136078834534,0.28597357869148254,0.24241961538791656,0.23541416227817535,0.17692236602306366
that,0.435920387506485,0.5473989248275757,0.22354429960250854,0.16250061988830566,0.41498205065727234,0.5473989248275757,0.33014219999313354,0.4137537479400635,0.5473989248275757,0.3370842933654785,0.23779913783073425,0.3995479643344879,0.6297725439071655,0.32716336846351624
.,0.5591574311256409,0.5934505462646484,0.20024040341377258,0.1938832700252533,0.5352458953857422,0.5934505462646484,0.2542925775051117,0.6812511086463928,0.5934505462646484,0.2954094707965851,0.18235068023204803,0.4569662809371948,0.3567904531955719,0.4130953550338745
